Datetime,Water Level (m)
2024-10-28 12:00:00,0.067058034
2024-10-28 13:00:00,0.06688428
2024-10-28 14:00:00,0.06198814
2024-10-28 15:00:00,0.05391596
2024-10-28 16:00:00,0.04536183
2024-10-28 17:00:00,0.04097268
2024-10-28 18:00:00,0.04450662
2024-10-28 19:00:00,0.055435926
2024-10-28 20:00:00,0.07109541
2024-10-28 21:00:00,0.08976461
2024-10-28 22:00:00,0.10850245
2024-10-28 23:00:00,0.123642065
2024-10-29 00:00:00,0.13108365
2024-10-29 01:00:00,0.13241145
2024-10-29 02:00:00,0.12779853
2024-10-29 03:00:00,0.11953547
2024-10-29 04:00:00,0.11054291
2024-10-29 05:00:00,0.10559387
2024-10-29 06:00:00,0.10869972
2024-10-29 07:00:00,0.11990767
2024-10-29 08:00:00,0.13790365
2024-10-29 09:00:00,0.15641183
2024-10-29 10:00:00,0.1734657
2024-10-29 11:00:00,0.18542601
2024-10-29 12:00:00,0.18962634
2024-10-29 13:00:00,0.18748373
2024-10-29 14:00:00,0.18079825
2024-10-29 15:00:00,0.17143112
2024-10-29 16:00:00,0.1609863
2024-10-29 17:00:00,0.1520189
2024-10-29 18:00:00,0.14928158
2024-10-29 19:00:00,0.15625656
2024-10-29 20:00:00,0.1725731
2024-10-29 21:00:00,0.1926659
2024-10-29 22:00:00,0.21278776
2024-10-29 23:00:00,0.2292662
2024-10-30 00:00:00,0.23878935
2024-10-30 01:00:00,0.24123771
2024-10-30 02:00:00,0.23789626
2024-10-30 03:00:00,0.23064752
2024-10-30 04:00:00,0.22173215
2024-10-30 05:00:00,0.21301761
2024-10-30 06:00:00,0.20903696
2024-10-30 07:00:00,0.21449602
2024-10-30 08:00:00,0.2298735
2024-10-30 09:00:00,0.25088045
2024-10-30 10:00:00,0.2710741
2024-10-30 11:00:00,0.28804198
2024-10-30 12:00:00,0.29726997
2024-10-30 13:00:00,0.29938006
2024-10-30 14:00:00,0.29629737
2024-10-30 15:00:00,0.28996
2024-10-30 16:00:00,0.28176925
2024-10-30 17:00:00,0.27332705
2024-10-30 18:00:00,0.2682313
2024-10-30 19:00:00,0.27215523
2024-10-30 20:00:00,0.28782013
2024-10-30 21:00:00,0.31074536
2024-10-30 22:00:00,0.335409
2024-10-30 23:00:00,0.3563397
2024-10-31 00:00:00,0.37216827
2024-10-31 01:00:00,0.3797098
2024-10-31 02:00:00,0.38083777
2024-10-31 03:00:00,0.37748948
2024-10-31 04:00:00,0.37136826
2024-10-31 05:00:00,0.36381757
2024-10-31 06:00:00,0.3572345
2024-10-31 07:00:00,0.3574651
2024-10-31 08:00:00,0.36853266
2024-10-31 09:00:00,0.38984835
2024-10-31 10:00:00,0.41265175
2024-10-31 11:00:00,0.43178615
2024-10-31 12:00:00,0.44525573
2024-10-31 13:00:00,0.44978186
2024-10-31 14:00:00,0.44921488
2024-10-31 15:00:00,0.444484
2024-10-31 16:00:00,0.43693152
2024-10-31 17:00:00,0.42760748
2024-10-31 18:00:00,0.4188865
2024-10-31 19:00:00,0.41605496
2024-10-31 20:00:00,0.4237418
2024-10-31 21:00:00,0.44327435
2024-10-31 22:00:00,0.46833175
2024-10-31 23:00:00,0.49310607
2024-11-01 00:00:00,0.511284
2024-11-01 01:00:00,0.5215152
2024-11-01 02:00:00,0.52480894
2024-11-01 03:00:00,0.5229737
2024-11-01 04:00:00,0.51764977
2024-11-01 05:00:00,0.50974387
2024-11-01 06:00:00,0.50100315
2024-11-01 07:00:00,0.49533048
2024-11-01 08:00:00,0.49784458
2024-11-01 09:00:00,0.5114988
2024-11-01 10:00:00,0.53189
2024-11-01 11:00:00,0.55092293
2024-11-01 12:00:00,0.5644154
2024-11-01 13:00:00,0.57042366
2024-11-01 14:00:00,0.57028663
2024-11-01 15:00:00,0.56619245
2024-11-01 16:00:00,0.55908144
2024-11-01 17:00:00,0.5498348
2024-11-01 18:00:00,0.54050446
2024-11-01 19:00:00,0.53278923
2024-11-01 20:00:00,0.53297895
2024-11-01 21:00:00,0.5460632
2024-11-01 22:00:00,0.567309
2024-11-01 23:00:00,0.59314823
2024-11-02 00:00:00,0.61447597
2024-11-02 01:00:00,0.62734073
2024-11-02 02:00:00,0.6325148
2024-11-02 03:00:00,0.6319244
2024-11-02 04:00:00,0.62744164
2024-11-02 05:00:00,0.62010664
2024-11-02 06:00:00,0.6108678
2024-11-02 07:00:00,0.60213584
2024-11-02 08:00:00,0.598539
2024-11-02 09:00:00,0.60492784
2024-11-02 10:00:00,0.6217194
2024-11-02 11:00:00,0.64142334
2024-11-02 12:00:00,0.6564368
2024-11-02 13:00:00,0.664241
2024-11-02 14:00:00,0.66525507
2024-11-02 15:00:00,0.6615673
2024-11-02 16:00:00,0.65428257
2024-11-02 17:00:00,0.6445665
2024-11-02 18:00:00,0.63306916
2024-11-02 19:00:00,0.6223969
2024-11-02 20:00:00,0.61639595
2024-11-02 21:00:00,0.62157327
2024-11-02 22:00:00,0.63893056
2024-11-02 23:00:00,0.66207826
2024-11-03 00:00:00,0.68589956
2024-11-03 01:00:00,0.70184946
2024-11-03 02:00:00,0.7090827
2024-11-03 03:00:00,0.70968056
2024-11-03 04:00:00,0.7058531
2024-11-03 05:00:00,0.6989833
2024-11-03 06:00:00,0.689568
2024-11-03 07:00:00,0.6789959
2024-11-03 08:00:00,0.67091805
2024-11-03 09:00:00,0.6702854
2024-11-03 10:00:00,0.6800673
2024-11-03 11:00:00,0.6968947
2024-11-03 12:00:00,0.71203226
